Id,Title,Director,ReleaseDate,BoxOffice,Rating,Runtime,Genre,Trailer
1,A Minecraft Movie,Jared Hess,4/4/2025,80.6,7.4,101,Action,https://www.youtube.com/watch?v=wJO_vIDZn-I
2,The Amateur,James Hawes,4/11/2025,15,8.2,123,Thriller,https://www.youtube.com/watch?v=DCWcK4c-F8Q
3,Drop,Christopher Landon,4/11/2025,7.5,8.2,95,Drama,https://www.youtube.com/watch?v=wVYYckcxcLg
4,Warfare,Alex Garland,4/11/2025,8.3,9.1,96,War,https://www.youtube.com/watch?v=JER0Fkyy3tw
5,A Working Man,David Ayer,3/28/2025,3.1,9.1,116,Action,https://www.youtube.com/watch?v=zTbgNC42Ops
6,The Woman in the Yard,Jaume Collet-Serra,3/28/2025,2.1,8.2,88,Thriller,https://www.youtube.com/watch?v=1s-Ko4J3mWs
7,Death of a Unicorn,Alex Scharfman,3/28/2025,2.5,9.1,107,Comedy,https://www.youtube.com/watch?v=62pyfjnzIuc
8,Disney's Snow White,Marc Webb,3/21/2025,2.8,7.4,109,Musical,https://www.youtube.com/watch?v=iV46TJKL8cU
9,The King of Kings,Kenneth Branagh,4/11/2025,19.1,7.4,104,Animation,https://www.youtube.com/watch?v=HDhet3EVRac
10,The Chosen: Last Supper Part 3,Dallas Jenkins,4/4/2025,6,7.4,194,Drama,https://www.youtube.com/watch?v=NjVZ9eF6tA0
